Variable / Field Name,Prefix?,Suffix?,Form Name,Field Label,"Choices, Calculations, OR Slider Labels"
nrscnvrhb_dscdate,"f#_ (# = 4,8,…,44)","_# (# = 1,2,…,5)",follow-up [redacted],"Overnight in a nursing home, convalescent home or rehab facility - Discharge Date #1",redacted to # of days after enrollment
nrscnvrhb_dscdate_known,"f#_ (# = 4,8,…,44)","_# (# = 1,2,…,5)",[computed in processing],Amount of date information provided by respondent,"0, no information | 1, year only | 2, month and year | 3, fully known"
nrscnvrhb_dscdate_min,"f#_ (# = 4,8,…,44)","_# (# = 1,2,…,5)",[computed in processing],Earliest date consistent with data and metadata,redacted to # of days after enrollment
nrscnvrhb_dscdate_max,"f#_ (# = 4,8,…,44)","_# (# = 1,2,…,5)",[computed in processing],Latest date consistent with data and metadata,redacted to # of days after enrollment
fu_fallseff_cleaning,"f#_ (# = 4,8,…,44)",,follow-up,cleaning the house (doing things like sweeping or dusting)? Are you (he/she):,"1, Not concerned at all | 2, Somewhat concerned | 3, Fairly concerned | 4, Very concerned | 7, Refused | 8, Don't Know"
fu_fallseff_dress,"f#_ (# = 4,8,…,44)",,follow-up,getting dressed or undressed? Are you (he/she):,"1, Not concerned at all | 2, Somewhat concerned | 3, Fairly concerned | 4, Very concerned | 7, Refused | 8, Don't Know"
fu_fallseff_meals,"f#_ (# = 4,8,…,44)",,follow-up,preparing simple meals? Are you (he/she):,"1, Not concerned at all | 2, Somewhat concerned | 3, Fairly concerned | 4, Very concerned | 7, Refused | 8, Don't Know"
fu_fallseff_bath,"f#_ (# = 4,8,…,44)",,follow-up,taking a bath or shower? Are you (he/she):,"1, Not concerned at all | 2, Somewhat concerned | 3, Fairly concerned | 4, Very concerned | 7, Refused | 8, Don't Know"
fu_fallseff_shop,"f#_ (# = 4,8,…,44)",,follow-up,doing simple shopping? Are you (he/she):,"1, Not concerned at all | 2, Somewhat concerned | 3, Fairly concerned | 4, Very concerned | 7, Refused | 8, Don't Know"
fu_fallseff_chair,"f#_ (# = 4,8,…,44)",,follow-up,getting in and out of a chair? Are you (he/she):,"1, Not concerned at all | 2, Somewhat concerned | 3, Fairly concerned | 4, Very concerned | 7, Refused | 8, Don't Know"
fu_fallseff_stairs,"f#_ (# = 4,8,…,44)",,follow-up,going up and down stairs? Are you (he/she):,"1, Not concerned at all | 2, Somewhat concerned | 3, Fairly concerned | 4, Very concerned | 7, Refused | 8, Don't Know"
fu_fallseff_walkneighborhood,"f#_ (# = 4,8,…,44)",,follow-up,walking around in your neighborhood? Are you (he/she):,"1, Not concerned at all | 2, Somewhat concerned | 3, Fairly concerned | 4, Very concerned | 7, Refused | 8, Don't Know"
fu_fallseff_reachcabinet,"f#_ (# = 4,8,…,44)",,follow-up,reaching into cabinets or closets? Are you (he/she):,"1, Not concerned at all | 2, Somewhat concerned | 3, Fairly concerned | 4, Very concerned | 7, Refused | 8, Don't Know"
fu_fallseff_phone,"f#_ (# = 4,8,…,44)",,follow-up,going to answer the telephone before it stops ringing? Are you (he/she):,"1, Not concerned at all | 2, Somewhat concerned | 3, Fairly concerned | 4, Very concerned | 7, Refused | 8, Don't Know"
fu_eddep_worthless,"f#_ (# = 4,8,…,44)",,follow-up,I felt worthless,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always | 7, Refused | 8, Don't Know"
fu_eddep_lookforward,"f#_ (# = 4,8,…,44)",,follow-up,I felt that I had nothing to look forward to,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always | 7, Refused | 8, Don't Know"
fu_eddep_helpless,"f#_ (# = 4,8,…,44)",,follow-up,I felt helpless,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always | 7, Refused | 8, Don't Know"
fu_eddep_sad,"f#_ (# = 4,8,…,44)",,follow-up,I felt sad,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always | 7, Refused | 8, Don't Know"
fu_eddep_failure,"f#_ (# = 4,8,…,44)",,follow-up,I felt like a failure,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always | 7, Refused | 8, Don't Know"
fu_eddep_depressed,"f#_ (# = 4,8,…,44)",,follow-up,I felt depressed,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always | 7, Refused | 8, Don't Know"
fu_eddep_unhappy,"f#_ (# = 4,8,…,44)",,follow-up,I felt unhappy,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always | 7, Refused | 8, Don't Know"
fu_eddep_hopeless,"f#_ (# = 4,8,…,44)",,follow-up,I felt hopeless,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always | 7, Refused | 8, Don't Know"
fu_eddep_fearful,"f#_ (# = 4,8,…,44)",,follow-up,I felt fearful,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always | 7, Refused | 8, Don't Know"
fu_eddep_anxiety,"f#_ (# = 4,8,…,44)",,follow-up,I found it hard to focus on anything other than my anxiety,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always | 7, Refused | 8, Don't Know"
fu_eddep_overwhelm,"f#_ (# = 4,8,…,44)",,follow-up,My worries overwhelmed me,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always | 7, Refused | 8, Don't Know"
fu_eddep_uneasy,"f#_ (# = 4,8,…,44)",,follow-up,I felt uneasy,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always | 7, Refused | 8, Don't Know"
fu_eddep_nervous,"f#_ (# = 4,8,…,44)",,follow-up,I felt nervous,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always | 7, Refused | 8, Don't Know"
fu_eddep_helpanxiety,"f#_ (# = 4,8,…,44)",,follow-up,I felt like I needed help for my anxiety,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always | 7, Refused | 8, Don't Know"
fu_eddep_anxious,"f#_ (# = 4,8,…,44)",,follow-up,I felt anxious,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always | 7, Refused | 8, Don't Know"
fu_eddep_tense,"f#_ (# = 4,8,…,44)",,follow-up,I felt tense,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always | 7, Refused | 8, Don't Know"
fu_euroqol_mobility,"f#_ (# = 4,8,…,44)",,follow-up,First I'd like to ask you about mobility. Would you say that:,"1, You have (He/she has) no problems walking? | 2, You have (He/she has) slight problems walking? | 3, You have (He/she has) moderate problems walking? | 4, You have (He/she has) severe problems walking? | 5, You (He/she has) are unable to walk? | 7, Refused | 8, DK"
fu_euroqol_selfcare,"f#_ (# = 4,8,…,44)",,follow-up,Next I'd like to ask you about (his/her) self-care. Would you say that: ,"1, You have (He/she has) no problems washing or dressing yourself? | 2, You have (He/she has) slight problems washing or dressing yourself? | 3, You have (He/she has) moderate problems washing or dressing yourself? | 4, You have (He/she has) severe problems washing or dressing yourself? | 5, You (He/she has) are unable to wash or dress yourself? | 7, Refused | 8, DK"
fu_euroqol_usualactivity,"f#_ (# = 4,8,…,44)",,follow-up,"Next I'd like to ask you about your (his/her) usual activities, for example work, study, housework, family or leisure activities. Would you say that: ","1, You have (He/she has) no problems doing your usual activities? | 2, You have (He/she has) slight problems doing your usual activities? | 3, You have(He/she has)  moderate problems doing your usual activities? | 4, You have (He/she has) severe problems doing your usual activities? | 5, You are (He/she is) unable to do your usual activities? | 7, Refused | 8, DK"
fu_euroqol_pain,"f#_ (# = 4,8,…,44)",,follow-up,Next I'd like to ask you about pain or discomfort. Would you say that: ,"1, You have (He/she has) no pain or discomfort? | 2, You have (He/she has) slight pain or discomfort? | 3, You have (He/she has) moderate pain or discomfort? | 4, You have(He/she has)  severe pain or discomfort? | 5, You have (He/she has) extreme pain or discomfort? | 7, Refused | 8, DK"
fu_euroqol_anxiety_dep,"f#_ (# = 4,8,…,44)",,follow-up,Finally I'd like to ask you about anxiety or depression. Would you say that :,"1, You are (He/she is) not anxious or depressed? | 2, You are (He/she is) slightly anxious or depressed? | 3, You are (He/she is) moderately anxious or depressed? | 4, You are (He/she is) severely anxious or depressed? | 5, You are (He/she is) extremely anxious or depressed? | 7, Refused | 8, DK"
fu_euroqol_eqvastask,"f#_ (# = 4,8,…,44)",,follow-up,"[PARTICIPANT]:

Now, I would like to ask you to say how good or bad your health is TODAY.

I'd like you to try to picture in your mind a scale that looks a bit like a thermometer. Can you do that? The best health you can imagine is marked 100 (one hundred) at the top of the scale and the worst health you can imagine is marked 0 (zero) at the bottom.

I would now like you to tell me the point on this scale where you would put your health today.

[SURROGATE]:

I would like to know how good or bad you think ([screen_arm_1][trk_fullname]) would say his/her health is TODAY, if he/she were able to tell us)

I'd like you to try to picture in your mind a scale that looks a bit like a thermometer. Can you do that? The best health you can imagine is marked 100 (one hundred) at the top of the scale and the worst health you can imagine is marked 0 (zero) at the bottom.

I would now like you to tell me the point on this scale where you would put his/her health today.",
fu_llfd_completed,"f#_ (# = 4,8,…,44)",,follow-up,Was the Late Life Function and Disability Instrument administered? ,"1, Yes | 2, No | 7, Refused | 8, DK"
fu_llfd_disability,"f#_ (# = 4,8,…,44)",,follow-up,LLDFI disability score ,
fu_llfd_disability_se,"f#_ (# = 4,8,…,44)",,follow-up,LLDFI disability standard error,
fu_llfd_function,"f#_ (# = 4,8,…,44)",,follow-up,LLDFI function score ,
fu_llfd_function_se,"f#_ (# = 4,8,…,44)",,follow-up,LLDFI function standard error,
fu_respondent,"f#_ (# = 4,8,…,44)",,follow-up,"Who provided the answers for this questionnaire? (please select the best option)

Designated Surrogate: [screen_arm_1][trk_surrogate_name] ","1, Participant | 2, Designated Surrogate (who provided consent for STRIDE participation or assisted with previous follow-up interviews or participant specified at Baseline) | 3, Other (New Surrogate - never provided information to STRIDE before  - complete next page before ending interview)"
furesp_othrel_relation,"f#_ (# = 4,8,…,44)",,follow-up,"What is your relationship  to the participant?
Other Surrogate: Relationship:","1, Spouse | 2, Son or Daughter | 3, Niece or Nephew | 4, Grandchild | 5, Brother or Sister | 6, Friend/Neighbor | 8, Other relative (please specify):"
furesp_othrel_months,"f#_ (# = 4,8,…,44)",,follow-up,Other surrogate: How long have you known the participant? [screen_arm_1][trk_fullname],
furesp_othrel_categ,"f#_ (# = 4,8,…,44)",,follow-up,"Other Surrogate: How long have you known participant?
Category","1, Months | 2, Years | 7, Refused | 8, Dk"
furesp_othrel_facecontacts,"f#_ (# = 4,8,…,44)",,follow-up,"Other Surrogate: How many days per week (0-7) do you see and/or talk with [screen_arm_1][trk_fullname]?

Face-to-Face contacts:",
furesp_othrel_telecontacts,"f#_ (# = 4,8,…,44)",,follow-up,"Other Surrogate: How many days per week (0-7) do you see and/or talk with [screen_arm_1][trk_fullname]?

Telephone Contacts:",
furesp_othrel_gender,"f#_ (# = 4,8,…,44)",,follow-up,Other Surrogate: Gender,"1, Male | 2, Female | 7, Refused | 8, DK"
furesp_othrel_race,"f#_ (# = 4,8,…,44)",,follow-up,"Do you consider yourself to be:
Other Surrogate: Race","1, White | 2, Black | 3, Other | 97, Refused | 98, DK"
furesp_othrel_ethnicity,"f#_ (# = 4,8,…,44)",,follow-up,"Do you consider yourself to be:

Other Surrogate: Ethnicity","1, Hispanic/Latino | 2, Non-Hispanic/Latino | 7, Refused | 8, DK"
furesp_othrel_age,"f#_ (# = 4,8,…,44)",,follow-up,Other Surrogate: How old are you?,
furesp_othrel_education,"f#_ (# = 4,8,…,44)",,follow-up,"Other Surrogate:
What was the last grade you completed in school?","1 = 'High school graduate or less' | 2 = 'Some college or equivalent' | 3 = 'College graduate or higher' | 	97 = 'Refused' | 98 = ""Don't know"""
fu_int_endtime,"f#_ (# = 4,8,…,44)",,follow-up,Follow-up Interview End Time,
death1,"f#_ (# = 4,8,…,44)",,follow-up [redacted],If death occurred in hospital: When was s/he admitted to the hospital?,redacted to # of days after enrollment
death1_known,"f#_ (# = 4,8,…,44)",,[computed in processing],Amount of date information provided by respondent,"0, no information | 1, year only | 2, month and year | 3, fully known"
death1_min,"f#_ (# = 4,8,…,44)",,[computed in processing],Earliest date consistent with data and metadata,redacted to # of days after enrollment
death1_max,"f#_ (# = 4,8,…,44)",,[computed in processing],Latest date consistent with data and metadata,redacted to # of days after enrollment
death2,"f#_ (# = 4,8,…,44)",,follow-up,Was someone with your (relationship) when (he/she) died?,"1, Yes | 2, No | 7, Refused | 8, Don't Know"
death2a,"f#_ (# = 4,8,…,44)",,follow-up,How long was it between when ([screen_arm_1][trk_fullname]) was last seen alive and when (he/she) died? ,
death3,"f#_ (# = 4,8,…,44)",,follow-up,"Did ([screen_arm_1][trk_fullname]) complain of any symptoms, such as chest pain, headache, extreme tiredness, or lack of appetite any time before (his/her) death?","1, Yes | 2, No | 7, Refused | 8, Don't Know"
death3a,"f#_ (# = 4,8,…,44)",,follow-up,"If yes, Please describe:",
death4,"f#_ (# = 4,8,…,44)",,follow-up,"What action, if any were taken for the symptom(s), such as taking medications, CPR, or going to the doctor? ",
scored_FES,,"_f# (# = 0, 4, …, 44; 0 is baseline)",[computed in processing],Scored FES (at most 3 missing items),
scored_PROMISanx,,"_f# (# = 0, 4, …, 44; 0 is baseline)",[computed in processing],Scored PROMISanx (at most 2 missing items),
scored_PROMISdep,,"_f# (# = 0, 4, …, 44; 0 is baseline)",[computed in processing],Scored PROMISdep (at most 2 missing items),
scored_LLFDIfn,,"_f# (# = 0, 4, …, 44; 0 is baseline)",[computed in processing],Scored LLFDIfn,
scored_LLFDIfnSE,,"_f# (# = 0, 4, …, 44; 0 is baseline)",[computed in processing],LLFDIfn standard error,
scored_LLFDIdis,,"_f# (# = 0, 4, …, 44; 0 is baseline)",[computed in processing],Scored LLFDIdis,
scored_LLFDIdisSE,,"_f# (# = 0, 4, …, 44; 0 is baseline)",[computed in processing],LLFDIdis standard error,
EQoL_index_f0,,"_f# (# = 0, 4, …, 44; 0 is baseline)",[computed in processing],"EuroQol EQ-5D-5L index score (computed with Tobit model of Pickard et al, see https://doi.org/10.1016/j.jval.2019.02.009)",
EQoL_state_f0,,"_f# (# = 0, 4, …, 44; 0 is baseline)",[computed in processing],EuroQol EQ-5D-5L state,
EQoL_VAS_f0,,"_f# (# = 0, 4, …, 44; 0 is baseline)",[computed in processing],EuroQol EQ VAS,
ai_assess_date,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,EDC Assessment Date,redacted to # of days after enrollment
ai_assess_type,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Assessment Type,1 = 'Initial Assessment' | 6 = '6-Month Assessment' | 12 = '12-Month Assessment' | 24 = '24-Month Assessment' | 36 = '36-Month Assessment' | 2 = 'ad hoc'
ai_assess_loca,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Assessment Location,1 = 'Telephone' | 2 = 'Home Visit' | 3 = 'Clinical Visit'
pe_sppb,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,SPPB completed?,1 = 'Yes' | 2 = 'No' | 9 = 'Not assessed'
pe_sppb_chair,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,SPPB Chair Stand (0-4),
pe_sppb_bal,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,SPPB Balance (0-4),
pe_sppb_gaitspeed,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,SPPB Gait Speed (0-4),
pe_sppb_total,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,SPPB Total (0-12),
pe_unsafe_gait,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Unsafe gait,1 = 'No' | 2 = 'Yes - Asymmetry' | 3 = 'Yes - Weakness' | 9 = 'Not assessed'
pe_cognitive,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Was Cognition assessed?,1 = 'Yes' | 2 = 'No'
pe_3itemrecall,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,3-item recall (score up to 3),
pe_clocktest,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Clock drawing test (score up to 2),
pe_mini_cog,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Mini-Cog Total Score (scored 0-5),
pe_bp,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Was BP assessed?,1 = 'Yes' | 2 = 'No'
pe_bp_supine_systolic,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,BP Supine - Systolic mmHg,
pe_bp_supine_diastolic,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,BP Supine - Diastolic mmHg,
pe_hr_supine,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,HR Supine,
pe_bp_stand1_systolic,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,BP Standing 1minute - Systolic mmHg,
pe_bp_stand1_diastolic,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,BP Standing 1minute - Diastolic mmHg,
pe_hr_stand1,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,HR Standing 1minute,
pe_bp_stand3_systolic,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,BP Standing 3minutes - Systolic mmHg,
pe_bp_stand3_diastolic,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,BP Standing 3minutes - Diastolic mmHg,
pe_hr_stand3,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,HR Standing 3minutes,
pe_bp_std13change,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Systolic BP drop of > 20 mmHg at 1 or 3 minutes,1 = 'Yes' | 2 = 'No' | 9 = 'Not assessed'
pe_bp_symptoms,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Symptoms with BP measures,1 = 'Yes' | 2 = 'No' | 9 = 'Not assessed'
pe_bp_symptype_unsteady,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Unsteady,1 = 'Yes' | 2 = 'No' | 9 = 'Not assessed'
pe_bp_symptype_ltheaded,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Lightheaded,1 = 'Yes' | 2 = 'No' | 9 = 'Not assessed'
pe_bp_symptype_vertigo,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Vertigo,1 = 'Yes' | 2 = 'No' | 9 = 'Not assessed'
pe_footabnormal,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Foot abnormalities,1 = 'Yes' | 2 = 'No' | 9 = 'Not assessed'
pe_footexam_stiffness,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,stiffness,1 = 'Yes' | 2 = 'No'
pe_footexam_swelling,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,swelling,1 = 'Yes' | 2 = 'No'
pe_footexam_numbness,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,numbness,1 = 'Yes' | 2 = 'No'
pe_footexam_ulcer,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,ulcer,1 = 'Yes' | 2 = 'No'
pe_footexam_bunionht,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,bunion or hammertoe,1 = 'Yes' | 2 = 'No'
pe_footexam_corncalluses,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,corn or calluses,1 = 'Yes' | 2 = 'No'
pe_footexam_nailabnormal,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,nail abnormalities,1 = 'Yes' | 2 = 'No'
pe_footwear,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Footwear,1 = 'No concerns' | 2 = 'Footwear concerns' | 9 = 'Not assessed'
pe_snellen,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Snellen Eye Exam,
rfc_medication,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Medication Risk Factor,"1 = 'No Medication Risk'
2 = 'Medication Risk Factor FRIDs'
3 = 'Medication Risk Factor Symptoms'
4 = 'Medication Risk Factor Symptoms, FRIDs'
5 = 'Medication Risk Factor Adherence'
6 = 'Medication Risk Factor Adherence, FRIDs'
7 = 'Medication Risk Factor Adherence, Symptoms'
8 = 'Medication Risk Factor Adherence, Symptoms, FRIDs'
9 = 'Medication Risk Factor Alcohol'
10 = 'Medication Risk Factor Alcohol, FRIDs'
11 = 'Medication Risk Factor Alcohol, Symptoms'
12 = 'Medication Risk Factor Alcohol, Symptoms, FRIDs'
13 = 'Medication Risk Factor Alcohol, Adherence'
14 = 'Medication Risk Factor Alcohol, Adherence, FRIDs'
15 = 'Medication Risk Factor Alcohol, Adherence, Symptoms'
16 = 'Medication Risk Factor Alcohol, Adherence, Symptoms, FRIDs'
20 = 'Unable to determine (missing data)'"
rfc_p_medication,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Medication Risk Factor Priority,1 = 'None' | 2 = 'Not Priority' | 3 = 'Priority'
rfc_med_rx_a,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Medication Action A,"1 = 'None'
2 = 'Refer to Pharmacist'
3 = 'Refer to Site Clinical Director'
4 = 'Refer to PCP'
5 = 'Provide general medication handout'
6 = 'Discuss adherence concerns'
7 = 'Discuss medications patient may want to modify'
8 = 'Pharm D review previously done'
9 = 'No change in medication'"
rfc_med_rx_b,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Medication Action B,"1 = 'None'
2 = 'Refer to Pharmacist'
3 = 'Refer to Site Clinical Director'
4 = 'Refer to PCP'
5 = 'Provide general medication handout'
6 = 'Discuss adherence concerns'
7 = 'Discuss medications patient may want to modify'
8 = 'Pharm D review previously done'
9 = 'No change in medication'"
rfc_med_rx_c,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Medication Action C,"1 = 'None'
2 = 'Refer to Pharmacist'
3 = 'Refer to Site Clinical Director'
4 = 'Refer to PCP'
5 = 'Provide general medication handout'
6 = 'Discuss adherence concerns'
7 = 'Discuss medications patient may want to modify'
8 = 'Pharm D review previously done'
9 = 'No change in medication'"
rfc_sgb,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,"Strength,gait,balance Risk Factor","1 = 'Minimal mobility problem (CBE)'
2 = 'Minimal mobility problem (Outpatient PT)'
3 = 'Minimal mobility problem (Outpatient PT or CBE)'
4 = 'Minimal mobility problem, pain limits function (Outpatient PT)'
5 = 'Moderate mobility problem (Home or Outpatient PT)'
6 = 'Moderate mobility problem (Home or Outpatient PT or CBE)'
7 = 'Severe mobility problem (Home or Outpatient PT)'
20 = 'Unable to determine (missing data)'"
rfc_p_sgb,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,"Strength, gait, balance Risk Factor Priority",1 = 'None' | 2 = 'Not Priority' | 3 = 'Priority'
rfc_exercise_rx_a,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Exercise Action A,"1 = 'None'
2 = 'CBE'
3 = 'Outpatient PT'
4 = 'Home Health PT'
5 = 'Home Exercises'
6 = 'Other (i.e. Yoga, Personal Trainer)'"
rfc_exercise_rx_b,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Exercise Action B,"1 = 'None'
2 = 'CBE'
3 = 'Outpatient PT'
4 = 'Home Health PT'
5 = 'Home Exercises'
6 = 'Other (i.e. Yoga, Personal Trainer)'"
rfc_exercise_rx_c,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Exercise Action C,"1 = 'None'
2 = 'CBE'
3 = 'Outpatient PT'
4 = 'Home Health PT'
5 = 'Home Exercises'
6 = 'Other (i.e. Yoga, Personal Trainer)'"
rfc_posthypotension,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Postural Hypotension Risk Factor,"1 = 'None'
2 = 'Symptoms but no Change in BP'
3 = 'Change in  BP but no Symptoms'
4 = 'Symptoms and Change in BP'
20 = 'Unable to determine (missing data)'"
rfc_p_posthypotension,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Postural Hypotension Risk Factor Priority,1 = 'None' | 2 = 'Not Priority' | 3 = 'Priority'
rfc_pos_rx_a,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,POS Action A,"1 = 'None'
2 = 'Education about behavior changes'
3 = 'Recheck BP in 2 weeks'
4 = 'Electronic note to PCP'
5 = 'PCP notified immediately'
6 = 'Known diagnosis.  Education material reviewed'"
rfc_pos_rx_b,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,POS Action B,"1 = 'None'
2 = 'Education about behavior changes'
3 = 'Recheck BP in 2 weeks'
4 = 'Electronic note to PCP'
5 = 'PCP notified immediately'
6 = 'Known diagnosis.  Education material reviewed'"
rfc_pos_rx_c,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,POS Action C,"1 = 'None'
2 = 'Education about behavior changes'
3 = 'Recheck BP in 2 weeks'
4 = 'Electronic note to PCP'
5 = 'PCP notified immediately'
6 = 'Known diagnosis.  Education material reviewed'"
rfc_feet,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Feet Risk Factor,"1 = 'No Risk'
2 = 'Risk, Feet'
3 = 'Risk, Footwear'
4 = 'Risk, Feet and Footwear'
20 = 'Unable to determine (missing data)'"
rfc_p_feet,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Feet Risk Factor Priority,1 = 'None' | 2 = 'Not Priority' | 3 = 'Priority'
rfc_feet_rx_a,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Feet Action A,"1 = 'None'
2 = 'Referred  to PCP'
3 = 'Suggest eval for PN'
4 = 'Eval & treatment by PT'
5 = 'Podiatrist'
6 = 'Identified safer footwear'
7 = 'Orthotist'
8 = 'Getting regular nail care by podiatrist or thru pedicures.'"
rfc_feet_rx_b,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Feet Action B,"1 = 'None'
2 = 'Referred  to PCP'
3 = 'Suggest eval for PN'
4 = 'Eval & treatment by PT'
5 = 'Podiatrist'
6 = 'Identified safer footwear'
7 = 'Orthotist'
8 = 'Getting regular nail care by podiatrist or thru pedicures.'"
rfc_feet_rx_c,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Feet Action C,"1 = 'None'
2 = 'Referred  to PCP'
3 = 'Suggest eval for PN'
4 = 'Eval & treatment by PT'
5 = 'Podiatrist'
6 = 'Identified safer footwear'
7 = 'Orthotist'
8 = 'Getting regular nail care by podiatrist or thru pedicures.'"
rfc_osteoporosis,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Osteoporosis Risk Factor,"1 = 'Normal: Not at risk'
2 = 'Osteoporosis: On treatment less than 5 years'
3 = 'Osteoporosis: On treatment 5+ years. Consider treatment holiday.'
4 = 'Osteoporosis: Positive fragility fracture'
5 = 'Osteoporosis: Positive BMD'
6 = 'Osteoporosis: On treatment holiday'
7 = 'Osteopenia: Low risk FRAX score'
8 = 'Osteopenia: High risk FRAX score'
9 = 'Low risk FRAX score'
10 = 'High risk FRAX score'
20 = 'Unable to determine (missing data)'"
rfc_p_osteoporosis,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Osteoporosis Risk Factor Priority,1 = 'None' | 2 = 'Not Priority' | 3 = 'Priority'
